election,winner_and_party,winner_and_party_2,electoral_college,electoral_college_2,popular_vote,popular_vote_2,popular_vote_3,popular_vote_4,runner_up_and_party,runner_up_and_party_2,turnout_9
1980,Ronald Reagan,Rep.,489/538,90.89%,50.75%,9.74%,"43,903,230","8,422,115",Jimmy Carter,Dem.,54.2%
1984,Ronald Reagan,Rep.,525/538,97.58%,58.77%,18.21%,"54,455,472","16,878,120",Walter Mondale,Dem.,55.2%
1988,George H. W. Bush,Rep.,426/538,79.18%,53.37%,7.72%,"48,886,597","7,077,121",Michael Dukakis,Dem.,52.8%
1992,Bill Clinton,Dem.,370/538,68.77%,43.01%,5.56%,"44,909,889","5,805,339",George H. W. Bush,Rep.,58.1%
1996,Bill Clinton,Dem.,379/538,70.45%,49.23%,8.51%,"47,401,185","8,203,716",Bob Dole,Rep.,51.7%
2000,George W. Bush,Rep.,271/538,50.47%,47.87%,−0.51%,"50,456,002","−543,895",Al Gore,Dem.,54.2%
2004,George W. Bush,Rep.,286/538,53.16%,50.73%,2.46%,"62,040,610","3,012,166",John Kerry,Dem.,60.1%
2008,Barack Obama,Dem.,365/538,67.84%,52.93%,7.27%,"69,498,516","9,550,193",John McCain,Rep.,61.6%
2012,Barack Obama,Dem.,332/538,61.71%,51.06%,3.86%,"65,915,795","4,982,291",Mitt Romney,Rep.,58.6%
2016,Donald Trump,Rep.,304/538,56.50%,46.09%,−2.09%,"62,984,828","−2,868,686",Hillary Clinton,Dem.,60.1%
2020,Joe Biden,Dem.,306/538,56.88%,51.31%,4.45%,"81,283,501","7,059,526",Donald Trump,Rep.,66.6%
2024,Donald Trump,Rep.,312/538,57.99%,49.80%,1.48%,"77,302,580","2,284,967",Kamala Harris,Dem.,64.1%
